,AGENCY,ADDRESS,CONTACT PERSON,FAX,TELEPHONE,SPECIALIZATION,WEBSITE,MOBILE,EMAIL,ABOUT
310,,Bon Voyage Tours (ACT - 595),,,,,,,,
311,,"268 Vaishali Marg Vaishali Nagar ,Jaipur,Rajasthan(302021)",,,,,,,,
312,,Fort Rajwada (Add Category - ),,,,,,,,
313,,"1 Hotel Complex Jodhpur-Barmer Link Road ,Jaisalmer,Rajasthan()",,,,,,,,
314,,Hotel Shanti Palace (Allied - 904),,,,,,,,
315,,"c/o Hotel Regal Opp.Gurudwara Dargah Road, Gunj ,Ajmer ,Tamil Nadu(305001)",,,,,,,,
316,,Sangam Travels (ACT - 824),,,,,,,,
317,,"92-C Super Bazaar Singarathop ,Trichy ,Tamil Nadu(620008 )",,,,,,,,
318,,Lemuria India Holidays (ACT - 730),,,,,,,,
319,,"No.4 Thirumukkulam North Street ,Madurai ,Tamil Nadu(625002 )",,,,,,,,
320,,Trip Go Trip Tourism Pvt.Ltd (Allied - 783),,,,,,,,
321,,"No.8 (3rd floor) Dharani Complex ,Coimbatore,Tamil Nadu(641002 )",,,,,,,,
322,,Express Holidays (Allied - 1060),,,,,,,,
323,,"No.44 Rajunaidu Layout II 100 feet Road Gandhipuram ,Coimbatore ,Tamil Nadu(641012)",,,,,,,,
324,,Welcome Tours & Travels (ACT - 295),,,,,,,,
325,,"150, Mount Road Chennai, ,Chennai,Tamil Nadu(600 002)",,,,,,,,
326,,Travel Times (India) Pvt.Ltd (ACT - 779),,,,,,,,
327,,"25/101 Park Complex 14/6 Venkatanarayana Road ,Chennai ,Tamil Nadu(600017 )",,,,,,,,
328,,Parveen Travels Pvt.Ltd. (ACT - 618),,,,,,,,
329,,".AB Towers 148 Perambur Barracks Road, ,Chennai,Uttar Pradesh(600007 )",,,,,,,,
330,,Narmada Holidays (ACT - 557),,,,,,,,
331,,"11 Aishwarya 33/18 Venkat Raman Street T.Nagar ,Chennai,Tamil Nadu(600017 )",,,,,,,,
332,,Madura Travel Service (ACT - 833),,,,,,,,
333,,"No.25/3 (old No.11/3), Gandhi Irwin Road Egmore ,Chennai,Tamil Nadu(600008 )",,,,,,,,
334,,Shubh Yatra Travels (Allied - 529),,,,,,,,
335,,"66-A SBM Shopping Complex Haridwar Road,,Rishikesh,Uttaranchal()",,,,,,,,
336,,Uttarakhand Vacation Pvt.Ltd. (ACT - 1078),,,,,,,,
337,,"Amar Building Jwala Line ,Ramnagar,Uttaranchal(244715)",,,,,,,,
338,,Aahana The Corbett Wilderness (Allied - 1113),,,,,,,,
339,,"Village Sawalde P.O. Samal Khaliya , Ramnagar,Uttaranchal(244715)",,,,,,,,
340,,Alphine Adventure (ACT - 1071),,,,,,,,
341,,"Nanda Devi Market ,Almora,Uttaranchal()",,,,,,,,
342,,Garuda Tourism (ACT - 262),,,,,,,,
343,,"G-10, Surekha Chambers ,Hyderabad,Tamil Nadu()",,,,,,,,
344,,Isha Tours (Allied - 721),,,,,,,,
345,,"1A Murlidhar CHS Behind Godbole Hospital ,Pune,Maharashtra()",,,,,,,,
346,,Talera Group of Hotels (Add Category - ),,,,,,,,
347,,"13 Wilson Garden Motilal Talera Marg ,pune,Maharashtra()",,,,,,,,
348,,Infinite Journeys Pvt.Ltd (ACT - 756),,,,,,,,
349,,"103 Mahadkar Chambers Karve Road Kothrud ,pune,Maharashtra(411021 )",,,,,,,,
350,,Holiday Bash International (ACT - 535),,,,,,,,
351,,"Shop No.208-209 A Wing Parmar Trade Centre ,pune,Maharashtra(411001 )",,,,,,,,
352,,GO HOLIDAYS LEISURES PVT.LTD. (Add Category - ),,,,,,,,
353,,"10 Saishwar 580 Narayan Peth Ramanbag Chowk ,pune,Maharashtra()",,,,,,,,
354,,Girikand Travels Pvt.Ltd. (ACT - 834),,,,,,,,
355,,"759/90, B. Bhandarkar Institute Road ,Pune,Maharashtra(411004 )",,,,,,,,
356,,Sharma Tourist Development Consultancy (ACT - 498),,,,,,,,
357,,"7 Prestige Point Opp,.Vasant Market Canada Corner ,Nashik,Maharashtra( 422005)",,,,,,,,
358,,Kirty Tours and Travels (ACT - 1015),,,,,,,,
359,,"4, Visawa, Ramdas Colony ,Nashik,Maharashtra(422005)",,,,,,,,
360,,Globus Tours (ACT - 762),,,,,,,,
361,,"Building No.04 Shraddha Sankul ,Nashik,Maharashtra(422013 )",,,,,,,,
362,,Apple Country Manali (Allied - 033),,,,,,,,
363,,"Camel House, 4th Floor Nashik-Pune Road ,Nashik,Maharashtra(422011 )",,,,,,,,
364,,Marwah Tours & Travels (ACT - 669),,,,,,,,
365,,"24 Central Avenue Road Darodkar Square ,Nagpur,Maharashtra(440002 )",,,,,,,,
366,,Cenin Tours & Travels Co.Pvt.Ltd. (Allied - 672),,,,,,,,
367,,"AT Provincial Automobile Co 7 Kingsway Nagpur Maharashtra 440001 India ,Nagpur,Maharashtra(6604602 )",,,,,,,,
368,,R.K.Associates & Hoteliers Pvt.Ltd (Allied - 1001),,,,,,,,
369,,"14 National PalacePlot No. 290/A2, Takka Panvel,Navi Mumbai,Maharashtra(410206)",,,,,,,,
370,,Brandavan Food Products (Allied - 1002),,,,,,,,
371,,"Goodwill Garden Shop No.8 Sector 8 ,New Mumbai,Maharashtra(410210)",,,,,,,,
372,,Yukta Holidays and Events Pvt.Ltd. (Allied - 1046),,,,,,,,
373,,"88/C Bldg 2, Room No.31, 3rd floor,Mumbai,Maharashtra(400002)",,,,,,,,
374,,Yes Travels (ACT - 1115),,,,,,,,
375,,"614 Churchgate Chambers 5 New Marine Lines ,Mumbai,Maharashtra(400020 )",,,,,,,,
376,,Trinity Air Travel and Tours Pvt.Ltd. (ACT - 594),,,,,,,,
377,,"02 Golden Arrow Apartments Near State Bank of Hyderabad, Kalina Santacruz ,Mumbai,Maharashtra(400029)",,,,,,,,
378,,Traveltechie.com ( - ),,,,,,,,
379,,"204 Shivai Plaza Behind Times Square Marol CHS Road Andheri East ,Mumbai,Maharashtra(400059)",,,,,,,,
380,,TRAVNET Tourism (ACT - 494),,,,,,,,
381,,"19 Ravikiran Near Mongnis Link Road ,Mumbai,Maharashtra(400067)",,,,,,,,
382,,Travels Unltd Media Pvt.Ltd. (ACT - 1036),,,,,,,,
383,,"324A, Kuber Complex. Opp.Laxmi Industrial Estate ,Mumbai,Maharashtra(400053)",,,,,,,,
384,,Sivadas Travel Service Pvt.Ltd. (ACT - 712),,,,,,,,
385,,"6 Kapadia Chambers 599 J S Seth Road ,Mumbai,Maharashtra(400002)",,,,,,,,
386,,Safari Plus (HONY - 384),,,,,,,,
387,,"155 B Samudrik Building Bhuleshwar Road Mumbai, ,Mumbai,Maharashtra(400 002)",,,,,,,,
388,,Sanyog Tours and Travel Consultants (ACT - 620),,,,,,,,
389,,"102/I Building 1st floor 8 Madhavwadi M M G S Road , ,Mumbai,Maharashtra(400014)",,,,,,,,
390,,Ravine Trek (ACT - 553),,,,,,,,
391,,"Ganjavala Building SVP Road Borivli (West) ,Mumbai,Maharashtra(400092)",,,,,,,,
392,,Raja Rani Travels Pvt.Ltd. (ACT - 182),,,,,,,,
393,,"Raja Rani Paryatan Bhavan 214, L.J. Road, ,Mumbai,Maharashtra(400016)",,,,,,,,
394,,Planet Holidays (ACT - 441),,,,,,,,
395,,"303, Vaity Villa, Near Kesar Bagh Gokhale Road, Opp. Mulund Station ,Mumbai,Maharashtra(400001)",,,,,,,,
396,,Nivalink Consultancy Services Pvt.Ltd (ACT - 448),,,,,,,,
397,,"H - 42/43 Lokmanya Paan Bazaar, Behind Everard Nagar ,Mumbai,Maharashtra(400 022)",,,,,,,,
398,,Infiniti Holidays (ACT - 1050),,,,,,,,
399,,"D 44 Plot No.160, Visheshwar CS Sector No.1 ,Mumbai,Maharashtra(400067)",,,,,,,,
400,,Heena Tours & Travels (ACT - 192),,,,,,,,
401,,"G.No.1, Hemu Plaza, D.J. Road Vile Parle (W) ,Mumbai,Maharashtra(400056)",,,,,,,,
402,,Classis Travel & Tour (ACT - 649),,,,,,,,
403,,"Unit No.117 A, Sussex Industrial Estate, Dadaji Konddeo Cross Road Byculla ,Mumbai,Maharashtra(400027)",,,,,,,,
404,,Creative Tours & Travels (India) Pvt.Ltd (ACT - 641),,,,,,,,
405,,"Kapadia Chambers (1st floor) ,Mumbai,Maharashtra(400020)",,,,,,,,
406,,Bonvoyage Tours & Travel (Allied - 782),,,,,,,,
407,,"Shop No.50 Harbour Crest ,Mumbai,Maharashtra(400010 )",,,,,,,,
408,,Bombay Travels Pvt.Ltd. (ACT - 026),,,,,,,,
409,,"7-B, Hassan Manzil 71, A.K. Marg Mumbai, ,Mumbai,Maharashtra(400036 )",,,,,,,,
410,,Ashish Holidays (Allied - 819),,,,,,,,
411,,"9 Govindf Nagar Haji Bapu Road Malad (E) ,Mumbai,Maharashtra(400097 )",,,,,,,,
412,,Arika Tour & Travels Pvt.Ltd (ACT - 545),,,,,,,,
413,,"A/15 (1st floor) Virmani Ind.Estate ,Mumbai,Maharashtra(400063 )",,,,,,,,
414,,Active Holidays Pvt.Ltd. (ACT - 490),,,,,,,,
415,,"09 Sai Vihar Ground floor ,Mumbai,Maharashtra(400001 )",,,,,,,,
416,,Sanjana Tours & Travels (Allied - s598),,,,,,,,
417,,"Om Baba Bhalchandra Mall ,Sindhudurg,Maharashtra()",,,,,,,,
418,,Swaroop Tours (Allied - 673),,,,,,,,
419,,"Block 10 Suyash Complex , Karad,Maharashtra(431001 )",,,,,,,,
420,,Remarkable India Tourism Development Pvt.Ltd (Allied - 771),,,,,,,,
421,,"Block 10 Suyash Complex Kalda Corner ,Aurangabad ,Maharashtra(431001 )",,,,,,,,
422,,Amarpreet Hotel (Allied - 820),,,,,,,,
423,,"Amarpreet Hotel Jalna Road ,Aurangabad ,Maharashtra(431003 )",,,,,,,,
424,,"Hotel Ramada, Khajuraho (All - 1018)",,,,,,,,
425,,"Delhi Contact: 18 Bank Enclave Near Shakarpur Police Station ,Khajurao,Madhya Pradesh(110092)",,,,,,,,
426,,Asahi India Tours (Allied - 988),,,,,,,,
427,,"C/o Hotel Usha Bundela , Khajurao,Madhya Pradesh(471606)",,,,,,,,
428,,Kashyap Travels & Tours (ACT - 1038),,,,,,,,
429,,"653 Street No.19 Shanti Nagar Near Ryan International School ,Jabalpur,Madhya Pradesh(482002)",,,,,,,,
430,,Deva Travel HouseMr Ajith Edassery (ACT - 877),,,,,,,,
431,,"1289E (2nd floor) Peringattu Building Above Union Bank of India, Civil Line Road Palarivattom ,Kochi,Kerala()",,,,,,,,
432,,Travel Connection ( - 1006),,,,,,,,
433,,"Shop No.149, Arcade Silver 56, 1st floor ,Indore,Madhya Pradesh(452001)",,,,,,,,
434,,Satyam Caterers Pvt.Ltd (Allied - 999),,,,,,,,
435,,"H.No.89 Coach Factory Road, Dwaraka NagarMain Road,Bhopal,Madhya Pradesh(110014)",,,,,,,,
436,,Roop Caterers (Allied - 1000),,,,,,,,
437,,"E-2/11 (B) Arera Colony ,Bhopal,Madhya Pradesh()",,,,,,,,
438,,Athira Holidays (ACT - 133),,,,,,,,
439,,"9, Ground Floor Vyttila Shopping Complex North Block, Vyttila ,kochi,Kerala()",,,,,,,,
440,,Travel India Tourism Pvt.Ltd. (ACT - 633),,,,,,,,
441,,"C 27 Parijat Complex, Bittan Market Area Colony E 5 ,Bhopal,Madhya Pradesh(462016)",,,,,,,,
442,,Abad Hotels India Pvt.Ltd (Allied - 467),,,,,,,,
443,,"Abad Plaza M G Road Cochin ,Kochi,Kerala(682035 )",,,,,,,,
444,,Planet Dreamz Services Pvt.Ltd (Add Category - ),,,,,,,,
445,,"LG 005 Plot No. 2 & 3 R.B.Tower Below Dominos's Pizza Chuna Bhatti, ,Bhopal,Madhya Pradesh()",,,,,,,,
446,,Osaka Air Travels Pvt.Ltd. (ACT - 622),,,,,,,,
447,,"Osaka Bhavan Opp.Municipal Office Ernakulam ,Ernakulam,Kerala(683572 )",,,,,,,,
448,,Jehan Numa Palace Hotel Pvt.Ltd. (Allied - 608),,,,,,,,
449,,"157 Shamla Hill ,Bhopal,Madhya Pradesh(462013 )",,,,,,,,
450,,Fort Munnar (Allied - 537),,,,,,,,
451,,"IInd floor Chandrika Building M G Road ,Ernakulam,Kerala()",,,,,,,,
452,,Heritage Tours (ACT - 1067),,,,,,,,
453,,"Mayfair Beach Resort C.T.Road , Orissa,Orissa(752001)",,,,,,,,
454,,Coastline Holidays (P) Ltd (ACT - 651),,,,,,,,
455,,"Opp. Kairali Appartments Panampilly Nagar ,Ernakulam,Kerala(682036 )",,,,,,,,
456,,Travel Link Pvt.Ltd. (ACT - 821),,,,,,,,
457,,"1st floor, Metro House Vani Vihar Square Sahid Nagar ,Bhubaneswar,Orissa(751007)",,,,,,,,
458,,You and Nature Tour Experts (ACT - 282),,,,,,,,
459,,"News Paper Employees Complex Ammankovil Street Thathampally (P O) ,Alleppey,Kerala()",,,,,,,,
460,,The Crown (Allied - 609),,,,,,,,
461,,"A/1(a) IRC Village Nayapalli ,Bhubaneswar,Orissa(751015 )",,,,,,,,
462,,Jaimaruti Holidays Tours & Travels (ACT - 489),,,,,,,,
463,,"Valia Matom, West Fort Mavelikara ,Alleppey,Kerala()",,,,,,,,
464,,Swosti Travels & Exports Pvt.Ltd. (Allied - 351),,,,,,,,
465,,"103 Janpath Unit III ,Bhubaneswar,Orissa(751001 )",,,,,,,,
466,,Green Shore Holidays & Resorts (P) Ltd (ACT - 318),,,,,,,,
467,,"VCNB Road , Opposite : Boat Jetty ,Alleppey,Kerala(688513 )",,,,,,,,
468,,Shree Venkateswara Tours Pvt.Ltd (Allied - 1049),,,,,,,,
469,,"Plat No.475, Saheed Nagar ,Bhubaneswar,Orissa(751007)",,,,,,,,
470,,ECSELS The Travel Agency (ACT - 754),,,,,,,,
471,,"B 23 Saheed Nagar ,Bhubaneswar,Orissa(751007)",,,,,,,,
472,,Aqua Holidays (Allied - 314),,,,,,,,
473,,"No.14, Municipal Library Complex Opp. Boat Jetty , Alleppey,Kerala(688513 )",,,,,,,,
474,,Eastern Treasure India Tours Pvt.Ltd. (Allied - 864),,,,,,,,
475,,"Block No 3, 1st floor, Aditya Trading Sriram Nagar ,Bhubaneswar,Orissa(751 006)",,,,,,,,
476,,Eastern Risen Expedition Pvt.Ltd. (Allied - 748),,,,,,,,
477,,"Plot No. 1267/2376 (Ground Floor), Bomikhal, Canal Road ( Gobind Prasad) ,Bhubaneswar,Orissa(751 006)",,,,,,,,
478,,Kerala Tour Mart India Pvt.Ltd. (ACT - 733),,,,,,,,
479,,"Osaka Bhavan Opp.Muncipal Office ,Angamally,Kerala(683572 )",,,,,,,,
480,,Vyas Holidays Pvt.Ltd. (ACT - 1082),,,,,,,,
481,,"Shop No.08 Babla Complex G.E.Road ,Raipur,Chhattisgarh()",,,,,,,,
482,,Travel With Smile.Com (ACT - 1013),,,,,,,,
483,,"Beside Ace Global Oppo.Menocha Petrol Pump Near Chattisgarh Hotel ,Raipur,Chhattisgarh(492001)",,,,,,,,
484,,Travel Planners (ACT - 1032),,,,,,,,
485,,"Shop No.27, Jairam Complex Sharda Chowk ,Raipur,Chhattisgarh()",,,,,,,,
486,,Star India Airtravel and Holidays (ACT - 1039),,,,,,,,
487,,"47-Samta Colony Landmark IDBI Colony ,Raipur,Chhattisgarh(492001)",,,,,,,,
488,,Satguru Travels (ACT - 1030),,,,,,,,
489,,"Shop No.5, C.G.Eye Hospital Complex Telibandha ,Raipur,Chhattisgarh()",,,,,,,,
490,,Travelco India (ACT - 367),,,,,,,,
491,,"532 Katra Neel Chandni Chowk ,New Delhi,Delhi(110006 )",,,,,,,,
492,,Kewal Shanti Enterprises (ACT - 1028),,,,,,,,
493,,"Laheja Sadan Raj Bhawan Chowk Civil Lines ,Raipur,Chhattisgarh()",,,,,,,,
494,,Travel Plus (Unit of IBIS Travel Pvt.Ltd. (ACT - 123),,,,,,,,
495,,"B 21 Freedom Fighter Enclave IGNOU Road ,New Delhi,Delhi(110068)",,,,,,,,
496,,Travel Spirit International Pvt.Ltd (ACT - 368),,,,,,,,
497,,"218 Splendor Forum Jasola District Centre ,New Delhi,Delhi(110025)",,,,,,,,
498,,Treff Travel Team (P) Ltd (ACT - 185),,,,,,,,
499,,"301, GUPTA ARCADE, DDA LOCAL SHOPPING COMPLEX, ,New Delhi,Delhi(110091)",,,,,,,,
500,,Ice Cubes Services (ACT - 968),,,,,,,,
501,,"C - 1, 206 Second floor, Aishwarya Chamber G.E.Road, Telibandha ,Raipur,Chhattisgarh(492006)",,,,,,,,
502,,Tulsi Travels Pvt.Ltd. (ACT - 187),,,,,,,,
503,,"R-53, 1st Floor Shakarpur Main Vikas Marg ,New Delhi,Delhi(110092 )",,,,,,,,
504,,Global Tour & Travel (ACT - 1029),,,,,,,,
505,,"Shop No.32, 1st floor Samvet Shikhar Complex Rajbandha Maidan ,Raipur,Chhattisgarh()",,,,,,,,
506,,Tybros (India) Tours Pvt.Ltd (ACT - 201),,,,,,,,
507,,"5/54, First Floor, Main Shankar Road ,New Delhi,Delhi(110060 )",,,,,,,,
508,,Choice Holidays India.Com (ACT - 948),,,,,,,,
509,,"Opp.Vivekanand Ashram Near Hanuman Mandir G.E.Road ,Raipur,Chhattisgarh()",,,,,,,,
510,,Tours N Travel India (ACT - 464),,,,,,,,
511,,"105 (first floor) Plot.No.7 Pankaj Plaza, Central Market Surajmahal Vihar ,New Delhi,Delhi(110092 )",,,,,,,,
512,,Upasana Travels (ACT - 687),,,,,,,,
513,,"C 70 Unit 2 Lower Ground Floor ,New Delhi,Delhi(110017 )",,,,,,,,
514,,Chhatisgarh Tourism Board ( - ),,,,,,,,
515,,"2nd floor, Udyog Bhawan Ring Road No.1 ,Raipur,Chhattisgarh(492001)",,,,,,,,
516,,United Aero Services Pvt.Ltd. (ACT - 344),,,,,,,,
517,,"103, Nirmal Tower Barakhamba Road, ,New Delhi,Delhi(110001 )",,,,,,,,
518,,Boutique Travel Services (Act 1026) (ACT - 1026),,,,,,,,
519,,"19 Lal Ganga Shopping MallG.E.Road ,Raipur,Chhattisgarh()",,,,,,,,
520,,Universal Adventure & Expeditions (Allied - 886),,,,,,,,
521,,"UB 1 A Indraprakash Building 21 Barakhamba Road ,New Delhi,Delhi(110001 )",,,,,,,,
522,,UV Holidays India (ACT - 801),,,,,,,,
523,,"59/3 LGF, Kalkaji,,New Delhi,Delhi(110019 )",,,,,,,,
524,,Indian Holidays (ACT - 1031),,,,,,,,
525,,"B 5 Ashoka Complex T.P.Nagar ,Korba ,Chhattisgarh( 495677)",,,,,,,,
526,,Vacation Dreamz Private Ltd (ACT - 244),,,,,,,,
527,,"203, Vardhman Mayur Market ,New Delhi,Delhi(110096 )",,,,,,,,
528,,Shakti Tours & Travels (ACT - 351),,,,,,,,
529,,"1 Geeta Complex Delhi Road ,Rohtak ,Haryana(124001)",,,,,,,,
530,,Meera Travels (ACT - 365),,,,,,,,
531,,"Near Chhotu Ram Chowk Civil Road ,Rohtak ,Haryana(124001 )",,,,,,,,
532,,Sunny Holidays (ACT - 447),,,,,,,,
533,,"SCO 266, First Floor, Sector 16 ,Panchkula,Haryana(134108)",,,,,,,,
534,,Vava Tourism & Hospitality Solutions Pvt.Ltd. (Allied - 767),,,,,,,,
535,,"DDA Flat No.67 Ground Floor, Munirka Opp.Vasant Vihar Police Station ,New Delhi,Delhi(110067)",,,,,,,,
536,,Golden Holidays (ACT - 1080),,,,,,,,
537,,"S 3 Adjoining State Bankof Patiala Opposite Red Coss Building G.T.Road ,Panipat,Haryana( 132103)",,,,,,,,
538,,Tree of Life Resorts & Hotels (Allied - 1044),,,,,,,,
539,,"C 37 First floor, Sushant Lok Phase One Near Huda Metro Station ,Gurugram,Haryana()",,,,,,,,
540,,Trail Blazer Tours India Pvt.Ltd. (ACT - 945),,,,,,,,
541,,"5th Floor Sewa Corporate Park, M G Road Near IFFCO Chowk ,Gurugram,Haryana(122002)",,,,,,,,
542,,Y Explore (Allied - 839),,,,,,,,
543,,"602, 6th Floor Universal Trade Tower, Sector 49, Sohna Road ,Gurugram,Haryana()",,,,,,,,
544,,Guru Nanak Travel Advisers (ACT - 786),,,,,,,,
545,,"1 New Sodhi Nagar Katcha Zira Road Moga , Moga,Punjab(142001 )",,,,,,,,
546,,Trip Tap Toe Pvt.Ltd (ACT - 1074),,,,,,,,
547,,"Ground Floor, M.A. Tower, Plot no. 55, Sector 18 ,Gurugram,Haryana(122001)",,,,,,,,
548,,Travel Solutions (ACT - 555),,,,,,,,
549,,"O 133 DLF Shopping Mall DLF Phase I Arjun Marg ,Gurugram,Haryana(122002 )",,,,,,,,
550,,Travel I (Add Category - ),,,,,,,,
551,,"NM-1, Old DLF Near Sector 14 ,Gurugram,Haryana()",,,,,,,,
552,,Travel Zone (ACT - 383),,,,,,,,
553,,"Shop No.1 (1st floor) Opposite Rani Market Model Gram Road ,Ludhiana,Punjab(141001)",,,,,,,,
554,,Travel & You (ACT - 978),,,,,,,,
555,,"314A, Unitech Arcadia South City II ,Gurugram,Haryana()",,,,,,,,
556,,Sky High Tours and Travels (Allied - 772),,,,,,,,
557,,"29 Adarsh Nagar Near Ferozepur Road Octroi Post ,Ludhiana,Punjab()",,,,,,,,
558,,Travel Boutique Online (ACT - 008),,,,,,,,
559,,"728 Udyog Vihar Phase V ,Gurugram,Haryana(122016)",,,,,,,,
560,,Stayzilla.com (ACT - 1081),,,,,,,,
561,,"231(2nd floor) Star Tower Sector 30 ,Gurugram,Haryana()",,,,,,,,
562,,Nidhivan Hotels & Resorts (Add Category - ),,,,,,,,
563,,"c/o Fuel Junction IOCL Petrol Pump Next to DLF B No.5 Cyber City ,Gurugram,Haryana()",,,,,,,,
564,,Nature Expedition India Pvt.Ltd (ACT - 230),,,,,,,,
565,,"Chapri House, 1st Floor 88, Sector 23, HUDA Gurgaon ,Gurugram,Haryana(122017 )",,,,,,,,
566,,Sehdev Travel & Educational Services (ACT - 236),,,,,,,,
567,,"SCO 1/6-C, New Market behind Narinder Cinema ,Jalandhar,Punjab(144001)",,,,,,,,
568,,My Indian Holidays (ACT - 590),,,,,,,,
569,,"UGF 147, Ansal Vyapar Kendra Sushant Lok 1 ,Gurugram,Haryana(122002)",,,,,,,,
570,,Hi Times Holidays (ACT - 822),,,,,,,,
571,,"Kanwaz Holiday Resorts Pvt.Ltd. Ajitcom Complex 130 Ranjit Nagar ,Jalandhar,Punjab(144001)",,,,,,,,
572,,Nirvana Resorts & Spa (Allied - 868),,,,,,,,
573,,"Kang Farm Mahilpur-Una Road VPO Jaijon Doaba ,Hoshiarpur ,Punjab(144530 )",,,,,,,,
574,,Marvel Trip Limited (ACT - 748),,,,,,,,
575,,"Marvel House 19, Sector 44, ,Gurugram,Haryana()",,,,,,,,
576,,Magical Holidays (P) Ltd (ACT - 317),,,,,,,,
577,,"108 Raheja Mall, Sohna Road ,Gurugram,Haryana(122002 )",,,,,,,,
578,,Dove Travels (ACT - 703),,,,,,,,
579,,"K K Tower SCO 31, District Shopping Center Ranjit Avenue ,Amritsar,Punjab(143001 )",,,,,,,,
580,,Leisure Corporation Pvt. Ltd. (ACT - 269),,,,,,,,
581,,"House No.161 Sector 27, Phase IV ,Gurugram,Haryana(122009)",,,,,,,,
582,,InterGlobe Aviation Ltd (IndiGo) (HONY - 679),,,,,,,,
583,,"Level 2 Tower C Global Business Park M G Road ,Gurugram,Haryana(122002)",,,,,,,,
584,,Hotel Sandesh The Prince (Allied - 578),,,,,,,,
585,,"No.3 Nethra Nivas Nazarbad Main Road Mysore ,Bangalore,Karnataka()",,,,,,,,
586,,Indus Discoveries Pvt.Ltd. (Allied - 260),,,,,,,,
587,,"30 JMD Galleria Sohna Road ,Gurugram,Haryana()",,,,,,,,
588,,Vijayshree Heritage Village Pvt.Ltd. (Add Category - ),,,,,,,,
589,,"V.R.Bhurat Nagari Malpangudi Hampi Road ,Bangalore,Karnataka(583201 )",,,,,,,,
590,,Go Discover Abroad (Add Category - ),,,,,,,,
591,,"101 A, Supermart II DLF Phase IV ,Gurugram,Haryana()",,,,,,,,
592,,Travel Tours Pvt.Ltd. (ACT - 621),,,,,,,,
593,,"1/1 Millers Arcade, Millers Road Vasanth Nagar ,New Delhi,Delhi(560052 )",,,,,,,,
594,,Travel India Company (ACT - 508),,,,,,,,
595,,"No.09, 20th Cross, HH Lane Killari Road BVK Iyengar Road Cross Bangalore ,Bangalore,Karnataka(560053 )",,,,,,,,
596,,Go Discover Abroad (Add Category - ),,,,,,,,
597,,"101 A, Supermart II DLF Phase IV ,Gurugram,Haryana()",,,,,,,,
598,,Karnataka Tourism Development Corpn.Ltd. ( - ),,,,,,,,
599,,"49, Khanija Bhavan Race Course Road ,Bangalore,Karnataka(560001 )",,,,,,,,
600,,Hammock Leisure Holidays Pvt.Ltd. (ACT - 218),,,,,,,,
601,,"3291,1st Floor, 12th Main,HAL II Stage, Indiranaga ,Bangalore,Karnataka(560 008)",,,,,,,,
602,,Indo Asia Holidays (ACT - 141),,,,,,,,
603,,"Division of Indo Asia Leisure Service Ltd. An ISO 9001 2000 certified Company Indo Asia House 56, Institutional Area, Sector 44 ,Gurugram,Haryana(122002 )",,,,,,,,
604,,Go Discover Abroad (Add Category - ),,,,,,,,
605,,"101 A, Supermart II DLF Phase IV ,Gurugram,Haryana()",,,,,,,,
606,,Fortune Park Hotels Ltd (Allied - 470),,,,,,,,
607,,"ITC Green Centre Plot No.10 Institutional Area Sector 32 ,Gurugram,Haryana(122001 )",,,,,,,,
608,,Eternity Travel & Tour Pvt.Ltd (ACT - 122),,,,,,,,
609,,"V 37/3 DLF Phase 3 ,Gurugram,Haryana(122022 )",,,,,,,,
610,,Earth Travellers (Allied - 943),,,,,,,,
611,,"A 20 The Legend Sector 57 ,Gurugram,Haryana()",,,,,,,,
612,,Vedic Expo (HONY - 290),,,,,,,,
613,,"Iskcon Temple Complex East of Kailash ,New Delhi,Delhi(110065 )",,,,,,,,
614,,Vietrade Tours & Travels Pvt.Ltd. (ACT - 031),,,,,,,,
615,,"D-161, Defence Colony New ,New Delhi,Delhi()",,,,,,,,
616,,Virlib Tours and Events Pvt.Ltd (All - 1020),,,,,,,,
617,,"616 Sector 17 Pocket A, Phase -2 Dwaraka ,New Delhi,Delhi(110078)",,,,,,,,
618,,Destination Holidays (ACT - 644),,,,,,,,
619,,"U 27/6 GF DLF City 3 ,Gurugram,Haryana(122002)",,,,,,,,
620,,Choice Hospitality (I) Pvt.Ltd (Allied - 018),,,,,,,,
621,,"Building No.9B (11th floor) DLF Cyber City, DLF Phase III ,Gurugram,Haryana()",,,,,,,,
622,,Vision India Tourism Pvt.Ltd (Add Category - ),,,,,,,,
623,,"128 (first floor) Plot No.23 K.P.Block Commercial Centre (Opp.Hotel City Park) ,New Delhi,Delhi(110034 )",,,,,,,,
624,,Vision Tour Club (ACT - 329),,,,,,,,
625,,"8 Bansal Tower(basement) Community Centre ,New Delhi,Delhi(110052 )",,,,,,,,
626,,Viva Holidays Tours & Travels Pvt.Ltd. (ACT - 012),,,,,,,,
627,,"G-36, DDA Commercial Complex Triveni ,New Delhi,Delhi(110017 )",,,,,,,,
628,,Victoria Car Rental Pvt.Ltd (Allied - 696),,,,,,,,
629,,"C G 3, RG Complex Motia Khan Paharganj ,New Delhi,Delhi(110048)",,,,,,,,
630,,Caravanette Tourism India Pvt.Ltd. (Add Category - ),,,,,,,,
631,,"307-308 DLF City Court M G Road Near Sikhanderpur Metro Station ,Gurugram,Haryana()",,,,,,,,
632,,Wander Globe Inc (ACT - 993),,,,,,,,
633,,"T 28 Okhla Industrial Area 2 ,New Delhi,Delhi(110048)",,,,,,,,
634,,ASHEX TOURISM (ACT - 359),,,,,,,,
